SMILES,molar_mass,log_p_sat,c,volatility
C(=O)(N(=O)(=O))C(=O)C(=O)OOC(C(=O)(OO))C(=O)C,279.1147,-5.187707701378365,0.0007561747989337685,IVOC
C(=O)(N(=O)(=O))C(=O)C(=O)OOC(C(=O))C(=O),233.0893,-3.533436070986003,0.02848613037721237,IVOC
C(=O)(N(=O)(=O))C(=O)C(=O)OOC(C(=O))C(=O)C(O),263.1153,-4.76591444154456,0.001882690157951315,IVOC
C(=O)(N(=O)(=O))C(=O)C(=O)OOC(C(=O))C(=O)C(ON(=O)(=O)),308.1129,-4.2537273156274695,0.0071701750258436735,IVOC
C(=O)(N(=O)(=O))C(=O)C(C(=O)(O))OOC(=O),221.0786,-5.45506375363328,0.0003236161173939216,IVOC
C(=O)(N(=O)(=O))C(=O)C(C(=O)(O))OOC(=O)C(=O),249.0887,-5.621084035003836,0.0002487809844770949,SVOC
C(=O)(N(=O)(=O))C(=O)C(C(=O))OOC(=O)C(=O),233.0893,-3.931394196702765,0.011393976829410492,IVOC
C(=O)(N(=O)(=O))C(=O)C(C(=O)C(ON(=O)(=O)))OOC(=O)C(=O),308.1129,-5.0585996436868985,0.00112371823654681,IVOC
C(=O)(N(=O)(=O))C(=O)C(C(O))(C(=O))OOC(=O),235.1052,-4.557362839468088,0.002719234028748889,IVOC
C(=O)(N(=O)(=O))C(=O)C(C(O))(C(=O))OOC(=O)C(=O),263.1153,-5.422466661537472,0.00041517063880542633,IVOC
C(=O)(N(=O)(=O))C(=O)C(C(O))C(=O),175.0963,-4.316407389214272,0.003527091861505397,IVOC
C(=O)(N(=O)(=O))C(=O)C(C(ON(=O)(=O)))(C(=O))OOC(=O)C(=O),308.1129,-4.201874820650419,0.008079458452966586,IVOC
C(=O)(N(=O)(=O))C(=O)C(C(OO))(C(=O))OOC(=O),251.1046,-5.431284929971985,0.00038825488589837114,IVOC
C(=O)(N(=O)(=O))C(=O)C(C(OO))(C(=O))OOC(=O)C(=O),279.1147,-6.144649352992568,8.349886033677062e-05,SVOC
C(=O)(N(=O)(=O))C(=O)C(C(OO))C(=O),191.0957,-4.82556845513167,0.0011918720916505466,IVOC
C(=O)(N(=O)(=O))C(=O)C(C(OO))C(=O)OOC(=O),251.1046,-4.708953981835783,0.002048556176299078,IVOC
C(=O)(N(=O)(=O))C(=O)C(C)(C(=O)(O))OOC(=O),235.1052,-5.52357657119605,0.0002939225147208956,SVOC
C(=O)(N(=O)(=O))C(=O)C(C)(C(=O)(O))OOC(=O)C(=O),263.1153,-6.043859064502535,9.927370472585288e-05,SVOC
C(=O)(N(=O)(=O))C(=O)C(C)(C(=O)(OO))OOC(=O),251.1046,-5.364506226325924,0.00045278875576563223,IVOC
C(=O)(N(=O)(=O))C(=O)C(C)(C(=O)(OON(=O)(=O)))OOC(=O),296.1022,-2.6395959452700613,0.2833954543532116,IVOC
C(=O)(N(=O)(=O))C(=O)C(C)(C(=O))OOC(=O),219.1058,-3.1372358977629524,0.06667532899297472,IVOC
C(=O)(N(=O)(=O))C(=O)C(C)(C(=O))OOC(=O)C(=O),247.1159,-4.036971942063332,0.00947274701143499,IVOC
C(=O)(N(=O)(=O))C(=O)C(C)C(=O)(O),175.0963,-3.4825388133233472,0.024059430697931025,IVOC
C(=O)(N(=O)(=O))C(=O)C(C)C(=O)(OO),191.0957,-4.141459831553478,0.005758883250925744,IVOC
C(=O)(N(=O)(=O))C(=O)C(C)C(=O)C(=O)C(=O)(OON(=O)(=O)),292.1135,-1.6593378011443911,2.6715359222112003,IVOC
C(=O)(N(=O)(=O))C(=O)C(C)C(=O)OOC(=O),219.1058,-2.414990720097539,0.3517307555517748,IVOC
C(=O)(N(=O)(=O))C(=O)C(C1(O))OOC1(C(=O)(O))C(=O),263.1153,-7.316057772397925,5.304390901105437e-06,SVOC
C(=O)(N(=O)(=O))C(=O)C(N(=O)(=O))(C1(O))OOC1C(=O)(OO),296.1022,-6.276852364283223,6.533358068879726e-05,SVOC
C(=O)(N(=O)(=O))C(=O)C(O)(C(=O)(O))C(=O),205.0792,-2.8787685448503786,0.11316190784298728,IVOC
C(=O)(N(=O)(=O))C(=O)C(O)(C(=O)(O))C(OO),223.0945,-6.347538010373716,4.1830980493628784e-05,SVOC
C(=O)(N(=O)(=O))C(=O)C(O)(C(=O)(OO))C(=O),221.0786,-2.2462637778249896,0.5233956621280742,IVOC
C(=O)(N(=O)(=O))C(=O)C(O)(C(=O))OOC(=O),221.0786,-2.609594843519919,0.2267248134429967,IVOC
C(=O)(N(=O)(=O))C(=O)C(O)(C(=O))OOC(=O)C(=O),249.0887,-3.3166529544040424,0.05014738171803322,IVOC
C(=O)(N(=O)(=O))C(=O)C(O)(C(ON(=O)(=O)))C(=O)(OO),268.0921,-3.6011567960611592,0.02803331206395381,IVOC
C(=O)(N(=O)(=O))C(=O)C(O)(C(OO))C(=O)(OO),239.0939,-6.570702937657961,2.6817157920753623e-05,SVOC
C(=O)(N(=O)(=O))C(=O)C(O)(C)C(=O),175.0963,-0.4380785268412068,26.652971394755678,VOC
C(=O)(N(=O)(=O))C(=O)C(O)(C)C(=O)(O),191.0957,-4.079948611256429,0.006635130889847818,IVOC
C(=O)(N(=O)(=O))C(=O)C(O)(C)C(=O)(OO),207.0951,-1.6321224933621197,2.016482795560679,IVOC
C(=O)(N(=O)(=O))C(=O)C(O)(C)C(=O)OOC(=O),235.1052,-2.159768405041892,0.6792677891250218,IVOC
C(=O)(N(=O)(=O))C(=O)C(O)(C1(=O))OOC1C(=O),233.0893,-3.24313670792896,0.055581827331236296,IVOC
C(=O)(N(=O)(=O))C(=O)C(O)(C1(O))OOC1C(=O),235.1052,-4.907345665709157,0.0012146852564749355,IVOC
C(=O)(N(=O)(=O))C(=O)C(O)(C1(O)C(OO))OOC1C(=O),281.1306,-8.024016242043437,1.1102967497403809e-06,SVOC
C(=O)(N(=O)(=O))C(=O)C(O)(ON(=O)(=O))C(O)(C)C(=O)C(=O),294.1293,-7.567083664229506,3.326609444351308e-06,SVOC
C(=O)(N(=O)(=O))C(=O)C(O)(OO)C(O)(C)C(=O)C(=O),265.1312,-7.105090974169778,8.687944828374338e-06,SVOC
C(=O)(N(=O)(=O))C(=O)C(O)(OO)C(O)C(=O)C(=O),251.1046,-5.33295140281243,0.0004869119764037733,IVOC
C(=O)(N(=O)(=O))C(=O)C(O)C(=O),161.0697,-0.5643626418572965,18.331516706859006,VOC
C(=O)(N(=O)(=O))C(=O)C(O)C(=O)(O),177.0691,-3.724892037357189,0.013925087524082556,IVOC
C(=O)(N(=O)(=O))C(=O)C(O)C(=O)(OO),193.0685,-3.9516785880671192,0.009006997151741957,IVOC
C(=O)(N(=O)(=O))C(=O)C(O)C(=O)C(=O)(OO),221.0786,-3.2616137593569823,0.050521953800800885,IVOC
C(=O)(N(=O)(=O))C(=O)C(ON(=O)(=O))(C(OO))OC(=O),268.0921,-4.121245844441456,0.008464189211848501,IVOC
C(=O)(N(=O)(=O))C(=O)C(ON(=O)(=O))C(=O)C(O)(C)C(=O)(OO),310.1287,-4.501964978321944,0.004074967706578349,IVOC
C(=O)(N(=O)(=O))C(=O)C(OO),149.059,-1.265760395564545,3.373999382675796,VOC
C(=O)(N(=O)(=O))C(=O)C(OO)(C(O))OC(=O),223.0945,-5.425305270216634,0.0003497283061535359,IVOC
C(=O)(N(=O)(=O))C(=O)C(OO)(C(O))OC(=O)C(=O),251.1046,-5.687943047864786,0.00021501007556159405,SVOC
C(=O)(N(=O)(=O))C(=O)C(OO)(C(ON(=O)(=O)))OC(=O),268.0921,-4.267071399813788,0.00605006175715704,IVOC
C(=O)(N(=O)(=O))C(=O)C(OO)(C(ON(=O)(=O)))OC(=O)C(=O),296.1022,-4.67983086935326,0.0025831995468576585,IVOC
C(=O)(N(=O)(=O))C(=O)C(OO)(C(OO))C(=O),223.0945,-4.61766762456724,0.0022457863100340033,IVOC
C(=O)(N(=O)(=O))C(=O)C(OO)(C(OO))OC(=O),239.0939,-4.964364010912854,0.0010833073162583903,IVOC
C(=O)(N(=O)(=O))C(=O)C(OO)(C(OO))OC(=O)C(=O),267.104,-5.494871226625843,0.000356743736056472,IVOC
C(=O)(N(=O)(=O))C(=O)C(OO)(C)C(=O),191.0957,-2.5012760292520952,0.2514907850259024,IVOC
C(=O)(N(=O)(=O))C(=O)C(OO)(C)C(=O)(OO),223.0945,-4.711052153834335,0.0018112729480853637,IVOC
C(=O)(N(=O)(=O))C(=O)C(OO)(C)C(=O)(OON(=O)(=O)),268.0921,-2.1389437554231265,0.8126198977248913,IVOC
C(=O)(N(=O)(=O))C(=O)C(OO)(C)C(=O)C(=O)C(=O),247.1159,-3.3248402875944736,0.04882110369226089,IVOC
C(=O)(N(=O)(=O))C(=O)C(OO)(C)C(=O)OOC(=O),251.1046,-3.189343628578199,0.0677732373275238,IVOC
C(=O)(N(=O)(=O))C(=O)C(OO)(C)C(O)C(=O)(OON(=O)(=O)),298.118,-4.453958844987691,0.004374984765150887,IVOC
C(=O)(N(=O)(=O))C(=O)C(OO)(C)C(O)C(=O)C(=O),249.1318,-4.648217823358829,0.00233753721330948,IVOC
C(=O)(N(=O)(=O))C(=O)C(OO)(C)OC(=O),207.0951,-3.4851021810972327,0.02828882006375408,IVOC
C(=O)(N(=O)(=O))C(=O)C(OO)(C)OC(=O)C(=O),235.1052,-3.876659478157564,0.013036167971256339,IVOC
C(=O)(N(=O)(=O))C(=O)C(OO)(C)OC(=O)C(=O)(OO),267.104,-6.151415566705277,7.867051915676942e-05,SVOC
C(=O)(N(=O)(=O))C(=O)C(OO)(C)OC(=O)C(=O)(OON(=O)(=O)),312.1016,-3.48993050356614,0.04216117274067168,IVOC
C(=O)(N(=O)(=O))C(=O)C(OO)(C)OOC(=O),223.0945,-3.118575711243496,0.07086965905620361,IVOC
C(=O)(N(=O)(=O))C(=O)C(OO)(C)OOC(=O)C(=O),251.1046,-3.9612438969442887,0.01145929666217113,IVOC
C(=O)(N(=O)(=O))C(=O)C(OO)(C1(O))OOC1C(=O),251.1046,-5.353383281533089,0.00046453514657194915,IVOC
C(=O)(N(=O)(=O))C(=O)C(OO)C(=O),177.0691,-2.1057947408579163,0.579288930904571,IVOC
C(=O)(N(=O)(=O))C(=O)C(OO)C(=O)(O),193.0685,-4.047366185231767,0.007225908006619547,IVOC
C(=O)(N(=O)(=O))C(=O)C(OO)C(=O)(OO),209.0679,-3.941762946138027,0.009978645675314899,IVOC
C(=O)(N(=O)(=O))C(=O)C(OO)C(=O)C(O)(C)C(=O)(O),265.1312,-6.32128983989928,5.281024576618726e-05,SVOC
C(=O)(N(=O)(=O))C(=O)C(OO)C(=O)C(O)(C)C(=O)(OO),281.1306,-6.102948606608735,9.257776756069369e-05,SVOC
C(=O)(N(=O)(=O))C(=O)C(OO)C(=O)C(O)(C)C(=O)(OON(=O)(=O)),326.1281,-4.11290489818912,0.010496161711459805,IVOC
C(=O)(N(=O)(=O))C(=O)C(OO)C(=O)C(OO),223.0945,-3.9186878080889262,0.011229185251571832,IVOC
C(=O)(N(=O)(=O))C(=O)C(OO)C(ON(=O)(=O)),224.0826,-2.631713115097869,0.21839475839700412,IVOC
C(=O)(N(=O)(=O))C(=O)C(OO)OC(=O),193.0685,-2.57154122648442,0.2161311613005216,IVOC
C(=O)(N(=O)(=O))C(=O)C(OO)OC(=O)C(=O),221.0786,-2.7382614526474622,0.1685902458935104,IVOC
C(=O)(N(=O)(=O))C(=O)C(OO)OC(=O)C(=O)(OO),253.0774,-5.350501913269752,0.00047130130449555364,IVOC
C(=O)(N(=O)(=O))C(=O)C(OO)OC(=O)C(=O)(OON(=O)(=O)),298.075,-2.642065152999546,0.28366619984191777,IVOC
C(=O)(N(=O)(=O))C(=O)C(OO)OC(=O)C(=O)C(ON(=O)(=O)),296.1022,-4.215708686744536,0.007521078791923173,IVOC
C(=O)(N(=O)(=O))C(=O)C(OO)OC(=O)C(=O)C(OO),267.104,-5.9377992793048895,0.00012865548417709548,SVOC
C(=O)(N(=O)(=O))C(=O)C(OO)OC(=O)C(ON(=O)(=O)),268.0921,-3.5350252483515763,0.032644194686744434,IVOC
C(=O)(N(=O)(=O))C(=O)C(OO)OC(=O)C(OO),239.0939,-4.389464617633139,0.0040705310276224135,IVOC
C(=O)(N(=O)(=O))C(=O)C(OO)OOC(=O),209.0679,-2.5331323796458904,0.2556831854349843,IVOC
C(=O)(N(=O)(=O))C(=O)C1(C(=O)(O))OOC(C1(O))C(=O),263.1153,-8.254590376970302,6.110868199222866e-07,SVOC
C(=O)(N(=O)(=O))C(=O)C1(C(=O))OOC(C1(O))C(=O),247.1159,-5.417092328087733,0.00039478037272373194,IVOC
C(=O)(N(=O)(=O))C(=O)C1(C(O))OOC(C1(=O))C(=O),247.1159,-3.0752997459619302,0.08672576409342199,IVOC
C(=O)(N(=O)(=O))C(=O)C1(C(O))OOC(C1(O))C(=O),249.1318,-7.253884995123431,5.795506026237782e-06,SVOC
C(=O)(N(=O)(=O))C(=O)C1(C(ON(=O)(=O)))OOC(C1(=O))C(=O),292.1135,-1.9848079582371656,1.2626729044963336,IVOC
C(=O)(N(=O)(=O))C(=O)C1(C(ON(=O)(=O)))OOC(C1(O))C(=O),294.1293,-5.984371513718614,0.00012726646075622794,SVOC
C(=O)(N(=O)(=O))C(=O)C1(C(OO))OOC(C1(=O))C(=O),263.1153,-4.155218283107489,0.007682012521305769,IVOC
C(=O)(N(=O)(=O))C(=O)C1(C(OO))OOC(C1(O))C(=O),265.1312,-6.749383570223203,1.9707178862779893e-05,SVOC
C(=O)(N(=O)(=O))C(=O)C1(C)OC1(OO)C(=O),219.1058,-3.174018008167911,0.061260855429695525,IVOC
C(=O)(N(=O)(=O))C(=O)C1(C)OOC(C1(=O))C(=O),231.1165,-2.101823516502324,0.7630528635812208,IVOC
C(=O)(N(=O)(=O))C(=O)C1(C)OOC(C1(=O))C(=O)(O),247.1159,-4.025756212791128,0.009720568566803275,IVOC
C(=O)(N(=O)(=O))C(=O)C1(C)OOC(C1(=O))C(=O)(OO),263.1153,-4.712997035956222,0.0021266511626626006,IVOC
C(=O)(N(=O)(=O))C(=O)C1(C)OOC(C1(=O))C(=O)(OON(=O)(=O)),308.1129,-2.561615892965286,0.3528914853301499,IVOC
C(=O)(N(=O)(=O))C(=O)C1(C)OOC(C1(O)(O))C(=O),249.1318,-5.195798765889548,0.0006624873515576386,IVOC
C(=O)(N(=O)(=O))C(=O)C1(C)OOC(C1(O))C(=O),233.1324,-4.7967485567720125,0.0015538220095314354,IVOC
C(=O)(N(=O)(=O))C(=O)C1(C)OOC(OO)(C1(=O))C(=O),263.1153,-3.5102025471832428,0.033922726166269714,IVOC
C(=O)(N(=O)(=O))C(=O)C1(O)OOC(ON(=O)(=O))(C(=O))C1(O)C,310.1287,-5.77779967326297,0.00021591831204594185,SVOC
C(=O)(N(=O)(=O))C(=O)C1(O)OOC(OO)(C(=O))C1(O)C,281.1306,-1.6480491674006157,2.6387979809644406,IVOC
C(=O)(N(=O)(=O))C(=O)C1OC1C(=O)C(OO),219.1058,-4.602875783610014,0.002282050661064838,IVOC
C(=O)(N(=O)(=O))C(=O)C1OOC(C1(=O))C(=O),217.0899,-2.0583891978463664,0.7921320981247141,IVOC
C(=O)(N(=O)(=O))C(=O)C1OOC(C1(=O))C(=O)(O),233.0893,-3.905246399301301,0.012101052060711137,IVOC
C(=O)(N(=O)(=O))C(=O)C1OOC(C1(=O))C(=O)(OO),249.0887,-4.691896930485844,0.0021135099006128815,IVOC
C(=O)(N(=O)(=O))C(=O)C1OOC(C1(=O))C(=O)(OON(=O)(=O)),294.0863,-1.855861862336412,1.7106459049229656,IVOC
C(=O)(N(=O)(=O))C(=O)C1OOC(C1(=O))C(=O)C(ON(=O)(=O)),292.1135,-2.4373503277880832,0.44539823485178726,IVOC
C(=O)(N(=O)(=O))C(=O)C1OOC(C1(O)(O))C(=O),235.1052,-7.219583960827482,5.918688245892411e-06,SVOC
C(=O)(N(=O)(=O))C(=O)C1OOC(C1(O)(OO))C(=O),251.1046,-6.283951826960747,5.450671799668897e-05,SVOC
C(=O)(N(=O)(=O))C(=O)C1OOC(C1(O))C(=O),219.1058,-4.675500678026434,0.0019306359419072295,IVOC
C(=O)(N(=O)(=O))C(=O)C1OOC(C1(O))C(=O)C(ON(=O)(=O)),294.1293,-6.372373698090473,5.208489371844025e-05,SVOC
C(=O)(N(=O)(=O))C(=O)C1OOC(OO)(C1(O))C(=O)(OON(=O)(=O)),328.101,-4.682473362736945,0.0028449941802808575,IVOC
C(=O)(N(=O)(=O))C(=O)CC(=O)(O),161.0697,-3.386914537301075,0.02758331782268073,IVOC
C(=O)(N(=O)(=O))C(=O)CC(=O)(OO),177.0691,-3.885872545859668,0.009612081069592448,IVOC
C(=O)(N(=O)(=O))C(=O)CC(=O)C(=O)C(=O)(O),217.0899,-3.7475689054015824,0.01620383843271147,IVOC
C(=O)(N(=O)(=O))C(=O)CC(=O)C(O)(C(OO))C(=O)(OON(=O)(=O)),326.1281,-5.201066949225391,0.000856778307310499,IVOC
C(=O)(N(=O)(=O))C(=O)CC(=O)C(O)(C)C(=O)(O),233.1324,-5.862207573756421,0.00013364178012254576,SVOC
C(=O)(N(=O)(=O))C(=O)CC(=O)C(O)(C)C(=O)(OO),249.1318,-6.059249048393547,9.072506927358221e-05,SVOC
C(=O)(N(=O)(=O))C(=O)CC(=O)C(O)(C)C(=O)(OON(=O)(=O)),294.1293,-3.394617382645124,0.04948437595237192,IVOC
C(=O)(N(=O)(=O))C(=O)CC(=O)C(O)(O)C(=O)(O),235.1052,-3.9882411253221455,0.010082501622252736,IVOC
C(=O)(N(=O)(=O))C(=O)CC(=O)C(O)(O)C(=O)(OO),251.1046,-10.362437663320382,4.549505520572942e-09,LVOC
C(=O)(N(=O)(=O))C(=O)CC(=O)C(O)(O)C(=O)(OON(=O)(=O)),296.1022,-2.355266072552808,0.5454095682776806,IVOC
C(=O)(N(=O)(=O))C(=O)CC(=O)C(OO),191.0957,-4.21454541152827,0.004866903040829911,IVOC
C(=O)(N(=O)(=O))C(=O)CC(=O)OOC(=O),205.0792,-2.3459197646934293,0.3859659927867094,IVOC
C(=O)(N(=O)(=O))C(=O)CC(=O)OOC(=O)C(=O),233.0893,-3.161317577514668,0.06710454734031862,IVOC
C(=O)(N(=O)(=O))C(=O)CC(=O)OOC(=O)C(=O)(O),249.0887,-5.022893539386536,0.0009862969217750957,IVOC
C(=O)(N(=O)(=O))C(=O)CC(=O)OOC(=O)C(=O)C(ON(=O)(=O)),308.1129,-6.482948438524485,4.229690931664617e-05,SVOC
C(=O)(N(=O)(=O))C(=O)CC(=O)OOC(=O)C(OO),251.1046,-4.165628441141058,0.007157698791040557,IVOC
C(=O)(N(=O)(=O))C(=O)CC(C(=O)(O))OOC(=O),235.1052,-6.084779600827894,8.072904687902753e-05,SVOC
C(=O)(N(=O)(=O))C(=O)CC(O)C(=O),175.0963,-4.343263192378942,0.003315591118767013,IVOC
C(=O)(N(=O)(=O))C(=O)CC1(C(ON(=O)(=O)))OOC(=O)C1(=O),292.1135,-4.52847171571399,0.003610996800575933,IVOC
C(=O)(N(=O)(=O))C(=O)CC1(C(OO))OOC(=O)C1(=O),263.1153,-6.849223328319919,1.5540678123861064e-05,SVOC
C(=O)(N(=O)(=O))C(=O)CC1(O)OOC(=O)C1(O)C(ON(=O)(=O)),310.1287,-7.0292740186096605,1.2100829201713646e-05,SVOC
C(=O)(N(=O)(=O))C(=O)CC1(O)OOC(=O)C1(O)C(OO),281.1306,-8.033472004792266,1.0863838622263945e-06,SVOC
C(=O)(N(=O)(=O))C(=O)CC1(ON(=O)(=O))OOC(=O)C1(O)C(OO),326.1281,-6.231530421426924,7.987391833081943e-05,SVOC
C(=O)(N(=O)(=O))C(=O)OC(=O),147.0431,-0.2976961512545509,30.924001795749515,VOC
C(=O)(N(=O)(=O))C(=O)OC(=O)(O),163.0425,-1.94420134046752,0.7738319848778639,IVOC
C(=O)(N(=O)(=O))C(=O)OC(=O)C,161.0697,-1.3042907287909202,3.3363400744291085,VOC
C(=O)(N(=O)(=O))C(=O)OC(=O)C(=O)(OO),207.052,-3.168427496793305,0.058640697061763336,IVOC
C(=O)(N(=O)(=O))C(=O)OC(=O)C(=O)C(=O)C,217.0899,-1.4371007366666977,3.3119675495946517,VOC
C(=O)(N(=O)(=O))C(=O)OC(=O)C(=O)C(=O)C(OO),249.0887,-2.9404365820987324,0.11925171540865331,IVOC
C(=O)(N(=O)(=O))C(=O)OC(=O)C(=O)C(C(O))C(=O)(O),263.1153,-6.120260196886759,8.325936550417972e-05,SVOC
C(=O)(N(=O)(=O))C(=O)OC(=O)C(=O)C(C)C(=O),231.1165,-3.054033965404314,0.08518128309383148,IVOC
C(=O)(N(=O)(=O))C(=O)OC(=O)C(=O)C(C)C(=O)(O),247.1159,-4.196907951635966,0.006554505454190719,IVOC
C(=O)(N(=O)(=O))C(=O)OC(=O)C(=O)C(O),205.0792,-2.580374639112257,0.22495423132478864,IVOC
C(=O)(N(=O)(=O))C(=O)OC(=O)C(=O)C(O)(C(=O)(O))C(=O),277.0988,-6.842544437737304,1.6620244114880288e-05,SVOC
C(=O)(N(=O)(=O))C(=O)OC(=O)C(=O)C(O)(C(ON(=O)(=O)))C(=O),308.1129,-4.20084205874903,0.008098694446943453,IVOC
C(=O)(N(=O)(=O))C(=O)OC(=O)C(=O)C(O)(C(OO))C(=O),279.1147,-3.37234991080618,0.04942879123849925,IVOC
C(=O)(N(=O)(=O))C(=O)OC(=O)C(=O)C(O)(C)C(=O),247.1159,-3.064757742204552,0.08885669149666349,IVOC
C(=O)(N(=O)(=O))C(=O)OC(=O)C(=O)C(O)C(=O)(O),249.0887,-5.011533332924034,0.001012436710649614,IVOC
C(=O)(N(=O)(=O))C(=O)OC(=O)C(=O)C(O)C(=O)C(ON(=O)(=O)),308.1129,-3.4586854518296613,0.044727190669062944,IVOC
C(=O)(N(=O)(=O))C(=O)OC(=O)C(=O)C(ON(=O)(=O))(C)C(=O),292.1135,-3.193374195140444,0.07811323500959347,IVOC
C(=O)(N(=O)(=O))C(=O)OC(=O)C(=O)C(ON(=O)(=O))C(=O)C,292.1135,-3.548771337167085,0.034460968767481205,IVOC
C(=O)(N(=O)(=O))C(=O)OC(=O)C(=O)C(OO)(C)C(=O)(O),279.1147,-5.768190355586306,0.0001986733181888997,SVOC
C(=O)(N(=O)(=O))C(=O)OC(=O)C(C(O))=C(N(=O)(=O))C(=O)(O),292.1135,-7.7752172057163955,2.0458868628080616e-06,SVOC
C(=O)(N(=O)(=O))C(=O)OC(=O)C(C(O))=CC(=O),231.1165,-5.683796391962861,0.00019979368221659263,SVOC
C(=O)(N(=O)(=O))C(=O)OC(=O)C(C(O))=CC(=O)(O),247.1159,-6.827450792706194,1.534606693449821e-05,SVOC
C(=O)(N(=O)(=O))C(=O)OC(=O)C(C(O))C(=O)(O),235.1052,-6.171705745789553,6.608511956554774e-05,SVOC
